bucket,row_idx,dosage_form,all_excipients_in_formulation,target_excipient_unii,target_excipient_name,assigned_role,confidence,n_candidates,n_samples_backing_prior,your_verdict_correct_y_n
LOW_CONF,59,TABLET,"POLOXAMER 407; MANNITOL; MAGNESIUM STEARATE; HYDROXYPROPYL CELLULOSE, UNSPECIFIED; TALC; COPOVIDONE K25-31; CROSPOVIDONE; SILICON DIOXIDE; HYPROMELLOSE, UNSPECIFIED; TITANIUM DIOXIDE; POLYETHYLENE GLYCOL, UNSPECIFIED",D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,139,TABLET,"ALGINIC ACID; STARCH, CORN; HEMATITE; COPOVIDONE K25-31; MAGNESIUM STEARATE; POVIDONE, UNSPECIFIED; SODIUM ALGINATE",D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,387,CAPSULE,"COPOVIDONE K25-31; POLOXAMER 188; MICROCRYSTALLINE CELLULOSE; SUCCINIC ACID; CROSPOVIDONE; SILICON DIOXIDE; MAGNESIUM STEARATE; GELATIN, UNSPECIFIED; TITANIUM DIOXIDE; HEMATITE; FERRIC OXIDE YELLOW; FERROSOFERRIC OXIDE; SHELLAC; PROPYLENE GLYCOL",D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,508,TABLET,CROSPOVIDONE; MAGNESIUM STEARATE; METHYLCELLULOSE (15 CPS); COPOVIDONE K25-31; HYPROMELLOSE 2910 (6 MPA.S); MEDIUM-CHAIN TRIGLYCERIDES; POLYDEXTROSE; POLYETHYLENE GLYCOL 3350; TITANIUM DIOXIDE; MICROCRYSTALLINE CELLULOSE; SILICON DIOXIDE,D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,551,"TABLET, FILM COATED","HYDROXYPROPYL CELLULOSE (70000 WAMW); MAGNESIUM STEARATE; MANNITOL; POLOXAMER 407; HYDROXYPROPYL CELLULOSE, LOW SUBSTITUTED; TALC; POLYVINYL ALCOHOL, UNSPECIFIED; TITANIUM DIOXIDE; POLYETHYLENE GLYCOL, UNSPECIFIED; COPOVIDONE K25-31",D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,607,TABLET,"SILICON DIOXIDE; Croscarmellose Sodium; Isomalt; MAGNESIUM STEARATE; Polyethylene Glycol 8000; POLYVINYL ALCOHOL, UNSPECIFIED; POWDERED CELLULOSE; TALC; TITANIUM DIOXIDE; FERRIC OXIDE YELLOW",S870P55O2W,Isomalt,granulation_aid,0.0,1,0,
LOW_CONF,813,TABLET,"STARCH, CORN; POLOXAMER 407; TALC; HYDROXYPROPYL CELLULOSE (1600000 WAMW); COPOVIDONE K25-31; MAGNESIUM STEARATE",D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,955,POWDER,SILICON DIOXIDE; CROSCARMELLOSE SODIUM; Isomalt; MAGNESIUM STEARATE; MANNITOL; MICROCRYSTALLINE CELLULOSE; SUCRALOSE; XANTHAN GUM,S870P55O2W,Isomalt,granulation_aid,0.0,1,0,
LOW_CONF,1057,TABLET,"LACTOSE MONOHYDRATE; STARCH, CORN; HYPROMELLOSE 2910 (5 MPA.S); CROSCARMELLOSE SODIUM; MAGNESIUM STEARATE; HYDROXYPROPYL CELLULOSE (110000 WAMW); COPOVIDONE K25-31; POLYETHYLENE GLYCOL 8000; TITANIUM DIOXIDE; FERRIC OXIDE YELLOW",D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,1420,TABLET,"POLOXAMER 407; MANNITOL; MAGNESIUM STEARATE; HYDROXYPROPYL CELLULOSE, UNSPECIFIED; TALC; COPOVIDONE K25-31; CROSPOVIDONE; SILICON DIOXIDE; HYPROMELLOSE, UNSPECIFIED; TITANIUM DIOXIDE; POLYETHYLENE GLYCOL, UNSPECIFIED",D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,1468,CAPSULE,"FD&C BLUE NO. 2--ALUMINUM LAKE; Gelatin, Unspecified; MANNITOL; SHELLAC; SODIUM LAURYL SULFATE; Starch, Corn; TALC; TITANIUM DIOXIDE; FERRIC OXIDE YELLOW; HEMATITE; Copovidone K25-31; Microcrystalline Cellulose; MAGNESIUM STEARATE; Poloxamer 407; Polyethylene Glycol 3350; Polyvinyl Alcohol, Unspecified",D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,1533,TABLET,"STARCH, CORN; POLOXAMER 407; TALC; HYDROXYPROPYL CELLULOSE (1600000 WAMW); COPOVIDONE K25-31; MAGNESIUM STEARATE",D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,2184,"TABLET, EXTENDED RELEASE","ACACIA SENEGAL GUM; SILICON DIOXIDE; DEXTROSE, UNSPECIFIED FORM; VP/VA COPOLYMER; CYSTEINE HYDROCHLORIDE; HYDROXYPROPYL METHYLCELLULOSE; MAGNESIUM STEARATE; CELLULOSE, MICROCRYSTALLINE; POLYETHYLENE GLYCOL, UNSPECIFIED; polysorbate 80; TITANIUM DIOXIDE; FD&C BLUE NO. 2; FD&C RED NO. 40; PROPYLENE GLYCOL; ALCOHOL",D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
LOW_CONF,2258,TABLET,VITAMIN E POLYETHYLENE GLYCOL SUCCINATE; MANNITOL; MICROCRYSTALLINE CELLULOSE; SODIUM CHLORIDE; CROSCARMELLOSE SODIUM; SODIUM STEARYL FUMARATE; SILICON DIOXIDE; COPOVIDONE K25-31,D9C330MD8B,COPOVIDONE,granulation_aid,0.0,1,0,
